country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-01-01,-54.0,-41.0,-34.0,-38.0,-45.0,12.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-01-02,-27.0,-25.0,-56.0,-25.0,-16.0,9.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-01-03,-26.0,-10.0,-43.0,-48.0,-56.0,19.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-01-04,-28.0,-10.0,-27.0,-46.0,-50.0,19.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-01-05,-29.0,-10.0,-25.0,-48.0,-49.0,18.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-01-06,-33.0,-15.0,-39.0,-51.0,-49.0,19.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-01-07,-32.0,-15.0,-30.0,-53.0,-47.0,19.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-01-08,-30.0,-16.0,-4.0,-35.0,-18.0,9.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-01-09,-21.0,-17.0,24.0,-33.0,-13.0,7.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-01-10,-31.0,-16.0,-33.0,-51.0,-48.0,17.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-01-11,-30.0,-15.0,-29.0,-54.0,-48.0,18.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-01-12,-29.0,-13.0,-8.0,-54.0,-49.0,18.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-01-13,-30.0,-14.0,-3.0,-51.0,-49.0,18.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-01-14,-29.0,-15.0,2.0,-51.0,-48.0,17.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-01-15,-29.0,-19.0,6.0,-34.0,-18.0,7.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-01-16,-21.0,-21.0,-6.0,-38.0,-15.0,6.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-01-17,-19.0,-12.0,18.0,-55.0,-64.0,18.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-01-18,-30.0,-15.0,-14.0,-52.0,-47.0,17.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-01-19,-30.0,-15.0,-4.0,-54.0,-47.0,17.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-01-20,-30.0,-17.0,-19.0,-52.0,-47.0,17.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-01-21,-28.0,-15.0,6.0,-51.0,-45.0,16.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-01-22,-28.0,-18.0,25.0,-36.0,-16.0,6.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-01-23,-23.0,-21.0,-12.0,-38.0,-12.0,6.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-01-24,-30.0,-18.0,-24.0,-53.0,-45.0,15.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-01-25,-25.0,-15.0,2.0,-53.0,-45.0,16.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-01-26,-27.0,-15.0,0.0,-54.0,-45.0,16.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-01-27,-27.0,-15.0,5.0,-51.0,-45.0,15.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-01-28,-26.0,-15.0,10.0,-50.0,-45.0,15.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-01-29,-25.0,-17.0,26.0,-35.0,-15.0,5.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-01-30,-25.0,-21.0,-31.0,-37.0,-10.0,6.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-01-31,-27.0,-14.0,-7.0,-50.0,-44.0,14.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-02-01,-24.0,-11.0,1.0,-50.0,-44.0,15.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-02-02,-27.0,-15.0,-9.0,-52.0,-44.0,15.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-02-03,-27.0,-13.0,-15.0,-50.0,-44.0,15.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-02-04,-26.0,-14.0,-10.0,-49.0,-42.0,14.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-02-05,-25.0,-16.0,16.0,-33.0,-15.0,5.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-02-06,-15.0,-16.0,39.0,-31.0,-9.0,4.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-02-07,-28.0,-15.0,-14.0,-49.0,-43.0,14.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-02-08,-24.0,-13.0,4.0,-50.0,-43.0,14.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-02-09,-24.0,-13.0,18.0,-49.0,-43.0,13.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-02-10,-26.0,-12.0,-4.0,-47.0,-44.0,14.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-02-11,-24.0,-11.0,17.0,-45.0,-42.0,13.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-02-12,-20.0,-10.0,65.0,-25.0,-14.0,3.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-02-13,-20.0,-7.0,21.0,-31.0,-10.0,3.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-02-14,-19.0,-3.0,-20.0,-47.0,-43.0,13.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-02-15,-26.0,-15.0,1.0,-46.0,-43.0,14.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-02-16,-25.0,-14.0,16.0,-46.0,-43.0,13.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-02-17,-25.0,-15.0,-4.0,-44.0,-44.0,13.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-02-18,-23.0,-14.0,16.0,-42.0,-44.0,13.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-02-19,-25.0,-18.0,-9.0,-26.0,-16.0,4.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-02-20,-15.0,-19.0,-4.0,-27.0,-11.0,3.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-02-21,-19.0,-14.0,1.0,-48.0,-62.0,15.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-02-22,-26.0,-18.0,-21.0,-44.0,-50.0,15.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-02-23,-26.0,-17.0,1.0,-46.0,-49.0,13.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-02-24,-25.0,-18.0,-7.0,-45.0,-49.0,14.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-02-25,-25.0,-17.0,9.0,-44.0,-47.0,13.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-02-26,-26.0,-20.0,-1.0,-26.0,-15.0,4.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-02-27,-19.0,-21.0,-38.0,-25.0,-9.0,4.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-02-28,-31.0,-21.0,-44.0,-46.0,-43.0,13.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-03-01,-21.0,-12.0,5.0,-44.0,-42.0,12.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-03-02,-25.0,-16.0,-16.0,-46.0,-43.0,12.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-03-03,-24.0,-13.0,-4.0,-44.0,-43.0,12.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-03-04,-23.0,-14.0,-1.0,-43.0,-41.0,11.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-03-05,-21.0,-17.0,36.0,-25.0,-14.0,2.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-03-06,-12.0,-16.0,24.0,-25.0,-9.0,2.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-03-07,-25.0,-16.0,-9.0,-44.0,-42.0,12.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-03-08,-23.0,-15.0,-11.0,-44.0,-42.0,12.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-03-09,-24.0,-15.0,14.0,-46.0,-42.0,11.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-03-10,-26.0,-16.0,-5.0,-44.0,-42.0,12.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-03-11,-24.0,-16.0,-2.0,-44.0,-43.0,12.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-03-12,-22.0,-18.0,18.0,-25.0,-14.0,3.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-03-13,-15.0,-18.0,-3.0,-26.0,-9.0,3.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-03-14,-29.0,-19.0,-37.0,-45.0,-42.0,12.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-03-15,-24.0,-14.0,-5.0,-45.0,-42.0,12.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-03-16,-22.0,-13.0,20.0,-44.0,-42.0,11.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-03-17,-24.0,-14.0,-13.0,-43.0,-42.0,11.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-03-18,-23.0,-15.0,5.0,-42.0,-43.0,11.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-03-19,-23.0,-19.0,-9.0,-25.0,-16.0,3.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-03-20,-15.0,-19.0,-15.0,-23.0,-10.0,3.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-03-21,-27.0,-17.0,-26.0,-43.0,-42.0,12.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-03-22,-20.0,-14.0,47.0,-41.0,-41.0,11.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-03-23,-24.0,-17.0,-9.0,-43.0,-42.0,11.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-03-24,-22.0,-14.0,24.0,-41.0,-43.0,10.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-03-25,-21.0,-15.0,27.0,-41.0,-42.0,10.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-03-26,-19.0,-18.0,27.0,-22.0,-14.0,2.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-03-27,-10.0,-16.0,42.0,-21.0,-9.0,1.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-03-28,-25.0,-17.0,-4.0,-42.0,-41.0,11.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-03-29,-21.0,-15.0,23.0,-40.0,-40.0,11.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-03-30,-23.0,-16.0,0.0,-42.0,-41.0,11.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-03-31,-21.0,-12.0,17.0,-40.0,-41.0,10.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-01,-21.0,-13.0,10.0,-41.0,-40.0,10.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-02,-20.0,-16.0,40.0,-19.0,-15.0,1.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-03,-14.0,-17.0,-21.0,-21.0,-9.0,3.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-04,-24.0,-16.0,-20.0,-42.0,-43.0,11.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-05,-20.0,-12.0,16.0,-38.0,-43.0,11.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-06,-19.0,-13.0,36.0,-39.0,-43.0,10.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-07,-19.0,-11.0,57.0,-37.0,-44.0,9.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-08,-21.0,-12.0,-3.0,-39.0,-43.0,11.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-09,-22.0,-15.0,1.0,-20.0,-16.0,2.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-10,-15.0,-16.0,-26.0,-21.0,-11.0,2.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-11,-24.0,-14.0,-11.0,-40.0,-46.0,11.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-12,-23.0,-14.0,-9.0,-40.0,-46.0,12.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-13,-23.0,-14.0,0.0,-42.0,-46.0,11.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-14,-23.0,-13.0,-3.0,-39.0,-46.0,11.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-15,-19.0,-10.0,21.0,-39.0,-48.0,10.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-16,-20.0,-11.0,4.0,-19.0,-18.0,2.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-17,-26.0,-15.0,31.0,-19.0,-19.0,0.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-18,-25.0,-18.0,-33.0,-41.0,-42.0,11.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-19,-20.0,-12.0,22.0,-38.0,-40.0,10.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-20,-21.0,-15.0,-5.0,-38.0,-41.0,10.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-21,-22.0,-14.0,-4.0,-38.0,-41.0,10.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-22,-20.0,-12.0,31.0,-37.0,-41.0,9.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-23,-19.0,-14.0,56.0,-15.0,-15.0,0.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-24,-7.0,-13.0,47.0,-16.0,-10.0,0.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-25,-23.0,-13.0,-11.0,-38.0,-41.0,10.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-26,-20.0,-10.0,11.0,-38.0,-39.0,10.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-27,-19.0,-10.0,23.0,-38.0,-40.0,9.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-28,-21.0,-11.0,8.0,-36.0,-41.0,10.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-29,-18.0,-10.0,27.0,-35.0,-41.0,9.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-30,-19.0,-12.0,30.0,-14.0,-15.0,1.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-05-01,-8.0,-10.0,34.0,-17.0,-9.0,1.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-05-02,-22.0,-12.0,-18.0,-39.0,-42.0,10.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-05-03,-18.0,-8.0,15.0,-37.0,-40.0,10.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-05-04,-14.0,-8.0,40.0,-34.0,-41.0,9.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-05-05,-19.0,-9.0,-24.0,-37.0,-41.0,10.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-05-06,-20.0,-10.0,-10.0,-35.0,-41.0,10.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-05-07,-17.0,-6.0,9.0,-15.0,-16.0,2.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-05-08,0.0,-4.0,31.0,-14.0,-10.0,0.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-05-09,-21.0,-11.0,5.0,-37.0,-41.0,10.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-05-10,-16.0,-7.0,39.0,-35.0,-40.0,9.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-05-11,-18.0,-9.0,32.0,-36.0,-41.0,9.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-05-12,-23.0,-11.0,-16.0,-37.0,-41.0,10.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-05-13,-19.0,-9.0,25.0,-34.0,-41.0,9.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-05-14,-20.0,-13.0,44.0,-11.0,-17.0,1.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-05-15,-14.0,-15.0,-29.0,-12.0,-11.0,3.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-05-16,-21.0,-10.0,16.0,-36.0,-41.0,9.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-05-17,-19.0,-9.0,32.0,-35.0,-39.0,10.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-05-18,-19.0,-10.0,15.0,-37.0,-41.0,10.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-05-19,-19.0,-8.0,28.0,-35.0,-41.0,9.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-05-20,-19.0,-9.0,39.0,-34.0,-41.0,9.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-05-21,-18.0,-11.0,81.0,-9.0,-17.0,-1.0
